city,latitude,longitude,risk_level,predicted_category,confidence,risk_score,prob_Cat1,prob_Cat2,prob_Cat3,prob_Cat4-5,prob_TD,prob_TS
New Orleans (USA),29.951065,-90.071533,Unknown,TD,0.4641061011091296,0.4641061011091296,0.06921020975226291,0.059277703746466646,0.044158121144438726,0.03282551953711752,0.4641061011091296,0.33042234471058424
Houston (USA),29.760427,-95.369804,Unknown,TD,0.4715481056857484,0.4715481056857484,0.06882553341337862,0.058915706415041555,0.043937693488825064,0.032686646122844665,0.4715481056857484,0.32408631487416156
Tampa (USA),27.950575,-82.457176,Unknown,TD,0.4526334928813418,0.4526334928813418,0.07183902198445197,0.06156731913199129,0.04594065366597003,0.0341403642140815,0.4526334928813418,0.33387914812216346
Miami (USA),25.761681,-80.191788,Unknown,TD,0.4538922569142189,0.4538922569142189,0.07246835526208364,0.062097014330240397,0.0463969636171692,0.034493210890708156,0.4538922569142189,0.33065219898557974
Corpus Christi (USA),27.800583,-97.396378,Unknown,TD,0.4690406230131832,0.4690406230131832,0.06969996887753424,0.05967079380166672,0.044539948403401634,0.03313719610719863,0.4690406230131832,0.3239114697970159
Pensacola (USA),30.421309,-87.216911,Unknown,TD,0.4601207275438684,0.4601207275438684,0.0698746806961871,0.05986118068296151,0.04460053247456702,0.03314737918772611,0.4601207275438684,0.3323954994146896
Mobile (USA),37.358402,-94.723251,Unknown,TD,0.6418021537325787,0.6418021537325787,0.05031322939540215,0.04255123363302583,0.0322354997426546,0.02437853962082779,0.6418021537325787,0.20871934387551147
Galveston (USA),29.301348,-94.797699,Unknown,TD,0.469739934831971,0.469739934831971,0.06896727017000753,0.059044672023843385,0.04402541410146094,0.03274664165749704,0.469739934831971,0.3254760672152204
Biloxi (USA),30.396032,-88.885307,Unknown,TD,0.4630966659399461,0.4630966659399461,0.06936386952269001,0.05941297951176958,0.044259701282070484,0.03289895342939896,0.4630966659399461,0.33096783031412474
Key West (USA),24.555059,-81.779984,Unknown,TD,0.456572471272966,0.456572471272966,0.07204138535743257,0.06172109207234727,0.046113038725326176,0.03428789400275826,0.456572471272966,0.32926411856917
Veracruz (Mexico),19.173773,-96.134224,Unknown,TD,0.5484350548950992,0.5484350548950992,0.062176337010133406,0.052947355670024975,0.03984223975339094,0.029872168175209518,0.5484350548950992,0.26672684449614165
Tampico (Mexico),22.247049,-97.861992,Unknown,TD,0.5440044782545302,0.5440044782545302,0.06255236248151748,0.053282941534118465,0.04006902576517608,0.0300261000858327,0.5440044782545302,0.2700650918788249
Campeche (Mexico),18.931225,-90.26181,Unknown,TD,0.5523180596234174,0.5523180596234174,0.06165700859205495,0.05249171542351626,0.03950692672264861,0.02963125871585817,0.5523180596234174,0.2643950309225048
Cancún (Mexico),21.097589,-86.85479,Unknown,TD,0.5123297882366382,0.5123297882366382,0.06579367459803842,0.05616290671655437,0.04210555232174558,0.0314559497729437,0.5123297882366382,0.2921521283540797
Mérida (Mexico),20.967779,-89.62426,Unknown,TD,0.5525328211447651,0.5525328211447651,0.061463450992604446,0.05232624669143012,0.03936987793117301,0.029526170198237334,0.5525328211447651,0.26478143304179
Ciudad del Carmen (Mexico),18.649679,-91.822121,Unknown,TD,0.5542371857625384,0.5542371857625384,0.06144755652715706,0.05230666208094628,0.039374976359324285,0.02953805861715745,0.5542371857625384,0.2630955606528764
Progreso (Mexico),21.28208,-89.663307,Unknown,TD,0.5526994889883101,0.5526994889883101,0.061414181162206496,0.05228371949720287,0.039336054126355074,0.029500730671933057,0.5526994889883101,0.2647658255539921
Coatzacoalcos (Mexico),18.13566,-94.440224,Unknown,TD,0.5508894815084419,0.5508894815084419,0.06191418147441987,0.05271555648328744,0.03967771679500809,0.029756507678185606,0.5508894815084419,0.26504655606065736
Tuxpan (Mexico),20.96134,-97.400887,Unknown,TD,0.5453448871110264,0.5453448871110264,0.06246511075576406,0.05320404884994543,0.040019627982812146,0.029994580265465125,0.5453448871110264,0.26897174503498683
Havana (Cuba),23.113592,-82.366592,Unknown,TD,0.4889396219645957,0.4889396219645957,0.06862981728931414,0.0586726601365576,0.04393331645143935,0.03275648460713572,0.4889396219645957,0.30706809955095743
Varadero (Cuba),23.134581,-81.283653,Unknown,TD,0.4843337341143499,0.4843337341143499,0.06930934944278225,0.05927077006698481,0.04438067041364458,0.03307921080420224,0.4843337341143499,0.30962626515803626
Cienfuegos (Cuba),22.144449,-80.440292,Unknown,TD,0.4824058198646924,0.4824058198646924,0.06976886361107021,0.059670342694708604,0.04469310619849415,0.03330996004611027,0.4824058198646924,0.3101519075849245
Belize City (Belize),17.49469,-88.189728,Unknown,TD,0.5413987981486635,0.5413987981486635,0.06309407002917973,0.05375397916302255,0.04043443099047441,0.03029745347442464,0.5413987981486635,0.2710212681942356
George Town (Cayman Islands),19.300249,-81.375999,Unknown,TD,0.4893008991089982,0.4893008991089982,0.06920103180247908,0.05915755318875626,0.04434442409864658,0.0330724229666391,0.4893008991089982,0.30492366883448097
Nassau (Bahamas),25.047983,-77.355415,Unknown,TD,0.48004995704844533,0.48004995704844533,0.07053163934412525,0.06032974424234075,0.04521810545963256,0.033700055959629084,0.48004995704844533,0.3101704979458269
